City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
10,Shieli,KZ,76.05,few clouds,44.1667,66.75,Gostinitsa Aybek Shieli
14,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
17,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
19,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Atuona,PF,77.5,scattered clouds,-9.8,-139.0333,Villa Enata
35,Shingu,JP,82.9,clear sky,33.7333,135.9833,Shingu UI Hotel
37,Taitung,TW,77.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
48,Banting,MY,77.14,overcast clouds,2.8167,101.5,Hotel Intan Jugra
50,Kavieng,PG,83.23,light rain,-2.5744,150.7967,Nusa Island Retreat
54,Hithadhoo,MV,79.59,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Jamestown,US,78.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Aquin,HT,81.16,broken clouds,18.2833,-73.4,Asheev Beach
65,Kutum,SD,75.67,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
66,Georgetown,MY,77.9,heavy intensity rain,5.4112,100.3354,Cititel Penang
70,Yatou,CN,80.35,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
71,Eureka,US,75.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
72,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,San Policarpo,PH,81.32,overcast clouds,12.1791,125.5072,JM Lodge
80,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
84,Hatillo,PR,84.07,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
89,Cockburn Town,TC,81.84,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
90,Zhicheng,CN,77.54,light rain,30.2956,111.5047,Wangjiang Building
95,Shache,CN,81.84,clear sky,38.4167,77.2406,Delong Hotel
99,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
101,Fort Saint James,CA,75.2,overcast clouds,54.4333,-124.25,The View Hotel
106,Owando,CG,79.61,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
112,La Joya,MX,87.31,broken clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
117,Naze,JP,79.72,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
118,Roma,US,75.87,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
121,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
124,Sao Filipe,CV,75.04,few clouds,14.8961,-24.4956,Hotel Xaguate
131,Amahai,ID,79.48,broken clouds,-3.3333,128.9167,HOTEL ISABELA
134,Berwick,US,83.03,clear sky,41.0545,-76.2333,The White Birch Inn B & B
138,Dalbandin,PK,89.15,overcast clouds,28.8947,64.4101,Sanjrani House
143,Bubaque,GW,79.18,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
146,Port Blair,IN,81.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Idil,TR,85.06,clear sky,37.3411,41.8895,İdil Öğretmen Evi Ve Aso Müdürlüğü
153,Maracaibo,VE,82.81,few clouds,10.6317,-71.6406,Motel Aladdin
154,Chaohu,CN,76.03,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
160,Westport,US,81.3,clear sky,41.1415,-73.3579,The Westport Inn
164,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
167,Kushima,JP,77.04,clear sky,31.4583,131.2333,Hanaoka
169,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
172,Solnechnyy,RU,76.57,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
174,Gat,IL,79.92,clear sky,31.61,34.7642,OlusHome
180,Manaure,CO,86.04,clear sky,11.7751,-72.4445,Hotel Palaaima
184,Jiwani,PK,82.85,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
187,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
197,Madang,PG,80.19,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
200,Arlit,NE,89.28,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
201,Taua,BR,84.18,broken clouds,-5.9667,-40.3,FAZENDA IPARANA - Maria Luiza Uchôa Castelo
210,Torbat-E Jam,IR,75.45,broken clouds,35.244,60.6225,White building
212,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
214,Guerrero Negro,MX,77.92,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
222,Gibsons,CA,86.32,scattered clouds,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
223,Gorontalo,ID,78.17,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
229,Yining,CN,76.6,clear sky,29.0361,114.5636,Xiushui Hotel
238,Santa Marta,CO,88.34,clear sky,11.2408,-74.199,Casa de Isabella
243,Faanui,PF,77.67,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
246,Broome,US,76.01,clear sky,42.2506,-75.833,Chenango Valley State Park
248,Ternate,ID,81.9,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
249,Kavaratti,IN,82.11,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
255,Bayir,TR,75.72,clear sky,37.2687,28.2167,Hotel Babadag
256,Daru,PG,78.33,broken clouds,-9.0763,143.2092,Daru Lodge
257,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
261,Makakilo City,US,84.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
263,Dawei,MM,77.86,moderate rain,14.0833,98.2,Hotel Dawei
265,Samarai,PG,79.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
267,Robertsport,LR,77.41,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
272,Bontang,ID,77.32,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
275,Laiya,PH,80.24,overcast clouds,13.675,121.3903,Blue Coral Beach Resort
281,Vaitape,PF,77.63,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
284,Keti Bandar,PK,82.47,overcast clouds,24.1447,67.4497,Haji laloo memon house
288,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
291,Bacungan,PH,81.52,overcast clouds,9.9106,118.7022,Sumayang Property
297,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
298,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
301,Bethel,US,80.04,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
303,Ixtapa,MX,88.83,few clouds,20.7,-105.2,Hotel Plaza Providencia
307,Paragominas,BR,77.52,broken clouds,-2.9667,-47.4833,INOVA
308,Acarau,BR,78.66,clear sky,-2.8856,-40.12,castelo pizzaria
313,Kandrian,PG,80.26,light rain,-6.2167,149.55,Kandrian Station
314,Mogadishu,SO,75.97,light rain,2.0371,45.3438,Hotel Juba
315,Hambantota,LK,80.38,overcast clouds,6.1241,81.1185,Bungalow 63
318,Xinmin,CN,79.05,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
